"","id","region_2017"
"943",104,"Костромская область"
"944",105,NA
"945",106,"Красноярский край"
"946",108,"Краснодарский край"
"947",109,"Краснодарский край"
"948",11,"Астраханская область"
"949",110,NA
"950",110134,"Республика Мордовия"
"951",110135,"Свердловская область"
"952",110136,"Липецкая область"
"953",110138,NA
"954",110139,"Ханты-Мансийский автономный округ"
"955",110140,NA
"956",110141,NA
"957",110142,NA
"958",110144,"Республика Татарстан"
"959",110145,"г.Москва"
"960",110147,NA
"961",110148,"г.Москва"
"962",110152,NA
"963",110153,"Республика Татарстан"
"964",110154,"Республика Татарстан"
"965",110155,"Астраханская область"
"966",110156,"Иркутская область"
"967",110157,"Республика Бурятия"
"968",110158,"г.Санкт-Петербург"
"969",110159,"г.Санкт-Петербург"
"970",110160,"Республика Башкортостан"
"971",110161,"Белгородская область"
"972",110162,NA
"973",110163,NA
"974",110164,"Волгоградская область"
"975",110165,"Волгоградская область"
"976",110166,NA
"977",110167,"Волгоградская область"
"978",110168,NA
"979",110169,"Воронежская область"
"980",110170,"Воронежская область"
"981",110171,"Удмуртская Республика"
"982",110172,NA
"983",110173,"Республика Саха (Якутия)"
"984",110174,"Тверская область"
"985",110176,NA
"986",110180,"Ленинградская область"
"987",110182,NA
"988",110183,"Московская область"
"989",110185,NA
"990",110186,"г.Москва"
"991",110187,"г.Москва"
"992",110188,"г.Москва"
"993",110189,"Республика Дагестан"
"994",110190,"Республика Дагестан"
"995",110192,"Приморский край"
"996",110193,NA
"997",110194,"Хабаровский край"
"998",110196,NA
"999",110197,NA
"1000",110199,NA
"1001",110200,"Свердловская область"
"1002",110202,"Ставропольский край"
"1003",110203,NA
"1004",110204,"Пермский край"
"1005",110206,NA
"1006",110207,NA
"1007",110209,NA
"1008",110212,NA
"1009",110214,"г.Москва"
"1010",110216,"г.Москва"
"1011",110218,"г.Москва"
"1012",110219,"Тульская область"
"1013",110221,"г.Санкт-Петербург"
"1014",110222,"Московская область"
"1015",110224,NA
"1016",110227,"г.Москва"
"1017",110229,"г.Москва"
"1018",110230,"г.Москва"
"1019",110231,"Астраханская область"
"1020",110232,"г.Москва"
"1021",110236,"Ярославская область"
"1022",110237,"г.Москва"
"1023",110238,NA
"1024",110239,"Омская область"
"1025",110240,NA
"1026",110241,NA
"1027",110243,"г.Москва"
"1028",110244,NA
"1029",110245,NA
"1030",110248,"г.Москва"
"1031",110250,NA
"1032",110251,NA
"1033",110252,NA
"1034",110253,NA
"1035",110254,"г.Москва"
"1036",110255,"Ставропольский край"
"1037",110261,"Республика Дагестан"
"1038",110262,NA
"1039",110263,NA
